,stem,score
0,abe,-1.0
1,abort,-0.333333333333333
2,absolut,0.333333333333333
3,abstrakt,0.666666666666667
4,absurd,-2.33333333333333
5,accelerere,1.33333333333333
6,accept,1.33333333333333
7,acceptabel,1.66666666666667
8,acceptere,1.66666666666667
9,action,0.666666666666667
10,adel,1.33333333333333
11,adgang,0.333333333333333
12,administration,-0.333333333333333
13,administrativ,-0.333333333333333
14,administrere,0.333333333333333
15,adoptere,0.666666666666667
16,adskille,-0.333333333333333
17,adskillelse,-1.33333333333333
18,adskillig,0.333333333333333
19,advare,-2.66666666666667
20,advarsel,-2.0
21,advokat,0.333333333333333
22,ae,0.666666666666667
23,afbryde,-1.66666666666667
24,afbrydelse,-1.0
25,afbrænding,-0.333333333333333
26,afbud,-1.33333333333333
27,afdeling,0.333333333333333
28,afdelingsleder,0.666666666666667
29,afdragsfri,0.666666666666667
30,afdække,0.333333333333333
31,afdæmpet,-0.333333333333333
32,afdød,-2.66666666666667
33,affald,-1.66666666666667
34,affinde,-0.666666666666667
35,affyre,-0.666666666666667
36,affære,-1.66666666666667
37,afføde,0.333333333333333
38,afgang,-0.333333333333333
39,afgift,-1.66666666666667
40,afgive,-1.0
41,afgrund,-2.0
42,afgrænse,-0.666666666666667
43,afgrøde,0.666666666666667
44,afgøre,0.666666666666667
45,afgørelse,0.333333333333333
46,afgørende,0.666666666666667
47,afgå,-0.333333333333333
48,afhandling,0.333333333333333
49,afhjælpe,1.33333333333333
50,afhænge,-0.333333333333333
51,afhængig,-1.33333333333333
52,afhængighed,-2.0
53,afhøre,-1.33333333333333
54,afhøring,-0.666666666666667
55,afkald,-1.33333333333333
56,afkast,1.33333333333333
57,afklare,0.333333333333333
58,afklaret,0.666666666666667
59,afklaring,1.66666666666667
60,afkræfte,-0.666666666666667
61,afkræve,-0.666666666666667
62,aflevere,0.333333333333333
63,aflive,-2.66666666666667
64,aflyse,-2.0
65,aflysning,-1.66666666666667
66,aflæse,0.666666666666667
67,afløse,-0.333333333333333
68,afløser,0.333333333333333
69,afmagt,-3.0
70,afmatning,-0.333333333333333
71,afrejse,-0.333333333333333
72,afrikansk,-0.333333333333333
73,afsige,-0.666666666666667
74,afsindig,-1.0
75,afskaffe,-0.666666666666667
76,afskaffelse,-1.66666666666667
77,afsked,-1.0
78,afskedige,-2.33333333333333
79,afskedigelse,-2.33333333333333
80,afskrive,-0.666666666666667
81,afskrække,-2.0
82,afskære,-0.666666666666667
83,afslag,-2.33333333333333
84,afslappet,0.666666666666667
85,afslutning,-0.333333333333333
86,afslutte,-0.666666666666667
87,afsløre,-0.333333333333333
88,afsløring,0.333333333333333
89,afslå,-2.0
90,afsone,-1.0
91,afspærre,-1.33333333333333
92,afstemme,-0.333333333333333
93,afstemning,0.333333333333333
94,afstå,-0.666666666666667
95,afsætte,-0.666666666666667
96,aftage,-0.666666666666667
97,aftale,0.666666666666667
98,afvige,-1.66666666666667
99,afvikle,-1.0
100,afvikling,-0.333333333333333
101,afvise,-2.33333333333333
102,afvisning,-2.66666666666667
103,afværge,1.33333333333333
104,aggression,-2.66666666666667
105,aggressiv,-3.33333333333333
106,aids,-4.33333333333333
107,akademiker,0.333333333333333
108,akademisk,0.666666666666667
109,akkompagnere,0.666666666666667
110,akkurat,0.333333333333333
111,aktie,0.333333333333333
112,aktindsigt,-0.333333333333333
113,aktiv,1.5
114,aktivere,1.0
115,aktivering,-0.666666666666667
116,aktivist,0.333333333333333
117,aktivitet,0.333333333333333
118,aktuel,0.333333333333333
119,akustisk,0.666666666666667
